Source,Target,Weight,Time
7188,1,10,2014-08-08
430,1,10,2013-08-15
3134,1,10,2013-05-28
3026,1,10,2012-10-12
3010,1,10,2012-09-17
804,1,10,2012-05-21
160,1,10,2014-03-13
95,1,9,2013-11-16
377,1,7,2014-10-31
888,1,7,2013-04-11
89,1,7,2012-11-01
1901,1,6,2014-09-27
161,1,6,2014-10-15
256,1,6,2012-07-18
351,1,5,2014-11-19
3329,1,5,2014-01-17
3341,1,5,2014-01-06
649,1,5,2013-11-15
1583,1,5,2013-10-05
87,1,5,2013-10-15
37,1,5,2013-07-17
309,1,5,2013-09-05
821,1,5,2013-05-16
1496,1,5,2014-03-07
637,1,5,2013-04-03
964,1,5,2012-10-13
594,1,5,2013-06-10
2249,1,5,2013-02-09
554,1,5,2012-08-28
20,1,5,2012-07-26
2227,1,5,2012-11-19
1315,1,5,2012-04-17
519,1,5,2012-08-10
1316,1,5,2012-03-20
2149,1,5,2012-01-19
1724,1,5,2011-12-02
18,1,5,2011-09-03
57,1,5,2011-08-24
118,1,4,2014-10-24
3254,1,4,2013-07-09
1177,1,4,2013-06-12
112,1,4,2012-12-16
11,1,4,2013-07-28
586,1,4,2011-08-31
35,1,4,2012-03-01
15,1,4,2011-10-29
1445,1,4,2011-07-04
152,1,4,2012-11-28
2,1,4,2014-09-29
113,1,4,2011-07-22
44,1,3,2014-11-13
2401,1,3,2014-01-25
10,1,3,2013-07-31
2378,1,3,2013-09-08
126,1,3,2013-07-19
3245,1,3,2013-05-31
783,1,3,2013-05-16
493,1,3,2013-03-01
1358,1,3,2013-07-02
1180,1,3,2013-09-04
529,1,3,2013-02-23
333,1,3,2013-01-04
1538,1,3,2013-01-21
2282,1,3,2012-11-25
1519,1,3,2013-03-22
2966,1,3,2012-07-14
474,1,3,2012-09-05
330,1,3,2013-10-10
958,1,3,2013-03-18
17,1,3,2012-03-04
1295,1,3,2012-02-18
38,1,3,2012-11-29
1952,1,3,2011-05-16
223,1,3,2011-05-03
625,1,2,2010-12-27
1392,1,2,2014-12-09
3355,1,2,2014-11-03
1881,1,2,2014-07-10
58,1,2,2014-10-07
96,1,2,2014-09-08
1580,1,2,2014-02-16
196,1,2,2014-02-05
146,1,2,2014-01-28
416,1,2,2014-02-08
1198,1,2,2014-01-23
3319,1,2,2013-12-17
1867,1,2,2014-04-02
896,1,2,2013-11-10
617,1,2,2013-11-08
3300,1,2,2013-09-27
1877,1,2,2013-09-05
462,1,2,2013-09-05
3279,1,2,2013-08-05
454,1,2,2013-12-17
1860,1,2,2013-06-14
121,1,2,2013-06-04
151,1,2,2013-08-13
1570,1,2,2013-07-13
1573,1,2,2014-08-25
1063,1,2,2013-04-14
1353,1,2,2014-06-08
459,1,2,2013-07-04
2334,1,2,2013-03-22
1267,1,2,2013-03-15
1060,1,2,2013-03-01
1061,1,2,2013-02-23
7431,1,2,2013-03-05
1355,1,2,2013-08-19
71,1,2,2012-12-09
3070,1,2,2012-11-27
2113,1,2,2012-11-12
3001,1,2,2012-11-11
396,1,2,2012-11-09
2260,1,2,2012-10-17
142,1,2,2013-04-10
2238,1,2,2012-08-05
123,1,2,2012-08-02
2942,1,2,2012-09-18
1509,1,2,2012-06-18
7410,1,2,2012-05-22
1760,1,2,2012-04-26
2876,1,2,2012-03-30
259,1,2,2014-04-14
1493,1,2,2012-03-27
2845,1,2,2012-02-16
370,1,2,2012-02-13
2844,1,2,2012-02-11
2167,1,2,2012-01-24
156,1,2,2012-01-05
2808,1,2,2011-12-15
255,1,2,2011-12-06
736,1,2,2011-12-20
7603,1,2,2011-11-10
346,1,2,2012-04-08
9,1,2,2012-02-17
75,1,2,2011-11-07
175,1,2,2011-10-18
2754,1,2,2011-09-29
22,1,2,2011-11-08
155,1,2,2011-07-22
1261,1,2,2011-06-29
2552,1,2,2011-06-12
2586,1,2,2011-06-09
710,1,2,2011-08-28
578,1,2,2011-06-06
472,1,2,2011-05-31
2472,1,2,2011-05-03
1606,1,2,2011-04-06
4,1,2,2011-03-09
563,1,2,2011-08-09
744,1,1,2011-01-09
3422,1,1,2015-01-04
250,1,1,2014-12-12
249,1,1,2014-12-09
2427,1,1,2014-11-27
3414,1,1,2014-11-26
1590,1,1,2014-10-31
2305,1,1,2014-09-28
1900,1,1,2014-09-22
3392,1,1,2014-07-28
1065,1,1,2014-07-18
1147,1,1,2014-06-10
1072,1,1,2014-06-08
3375,1,1,2014-05-04
1024,1,1,2014-04-07
709,1,1,2014-04-03
1382,1,1,2014-02-10
3332,1,1,2013-12-05
1885,1,1,2013-11-30
3330,1,1,2013-11-29
1197,1,1,2013-11-23
3316,1,1,2013-11-23
1886,1,1,2013-11-20
154,1,1,2013-11-19
1522,1,1,2013-09-23
2391,1,1,2013-09-14
3298,1,1,2013-09-03
432,1,1,2013-08-31
3292,1,1,2013-08-27
3290,1,1,2013-08-27
7597,1,1,2013-08-09
3274,1,1,2013-08-03
1875,1,1,2013-08-02
291,1,1,2013-07-27
158,1,1,2013-07-26
1579,1,1,2013-07-23
1846,1,1,2013-06-28
1066,1,1,2013-06-28
290,1,1,2013-05-24
3233,1,1,2013-05-19
891,1,1,2013-05-16
247,1,1,2013-07-08
1856,1,1,2013-05-02
3211,1,1,2013-05-03
115,1,1,2013-05-01
1365,1,1,2013-04-26
483,1,1,2013-04-25
3210,1,1,2013-04-20
3189,1,1,2013-04-17
3193,1,1,2013-04-16
2352,1,1,2013-04-14
1847,1,1,2013-04-13
3173,1,1,2013-04-07
1051,1,1,2013-04-04
1843,1,1,2013-04-01
2342,1,1,2013-03-30
7341,1,1,2013-03-29
3139,1,1,2013-03-29
1186,1,1,2013-03-28
3167,1,1,2013-03-28
3149,1,1,2013-03-26
1842,1,1,2013-03-25
3156,1,1,2013-03-18
3141,1,1,2013-03-15
817,1,1,2013-03-14
1840,1,1,2013-03-11
1839,1,1,2013-03-11
2324,1,1,2013-03-08
3143,1,1,2013-03-08
3142,1,1,2013-03-05
174,1,1,2013-02-20
2315,1,1,2013-02-12
1356,1,1,2013-02-07
1835,1,1,2013-02-03
296,1,1,2013-02-02
3118,1,1,2013-04-15
1542,1,1,2013-01-29
3111,1,1,2013-01-17
753,1,1,2013-01-14
3088,1,1,2012-12-19
395,1,1,2012-12-18
3068,1,1,2012-12-07
3042,1,1,2012-12-06
1442,1,1,2012-12-05
1339,1,1,2012-12-17
596,1,1,2012-12-02
2281,1,1,2012-11-27
222,1,1,2012-11-23
194,1,1,2012-11-23
3064,1,1,2012-11-23
1812,1,1,2012-11-22
1796,1,1,2012-11-20
701,1,1,2012-11-18
124,1,1,2012-11-15
3057,1,1,2012-11-13
7427,1,1,2012-11-14
2276,1,1,2012-11-09
2271,1,1,2012-10-31
1525,1,1,2012-10-19
2235,1,1,2012-10-17
3027,1,1,2012-10-16
2090,1,1,2012-10-15
1342,1,1,2012-10-12
331,1,1,2012-10-12
3023,1,1,2012-10-10
2261,1,1,2012-10-10
68,1,1,2012-10-10
116,1,1,2012-10-07
1043,1,1,2012-10-07
3020,1,1,2012-09-30
491,1,1,2012-09-24
179,1,1,2012-09-23
2252,1,1,2012-10-03
214,1,1,2012-09-20
439,1,1,2012-09-18
2147,1,1,2012-09-16
1167,1,1,2012-09-13
697,1,1,2012-09-09
67,1,1,2012-09-09
1793,1,1,2012-09-08
258,1,1,2012-09-04
1340,1,1,2012-09-01
2996,1,1,2012-08-30
1520,1,1,2012-08-24
1336,1,1,2012-08-19
30,1,1,2012-08-19
178,1,1,2012-09-20
747,1,1,2012-07-17
2962,1,1,2012-07-04
2952,1,1,2012-06-22
455,1,1,2012-06-18
260,1,1,2012-06-13
623,1,1,2012-06-11
29,1,1,2012-06-06
1510,1,1,2012-06-01
2927,1,1,2012-05-29
301,1,1,2012-05-16
2907,1,1,2012-05-05
2909,1,1,2012-05-02
1148,1,1,2012-04-26
955,1,1,2012-04-25
1502,1,1,2012-04-22
2853,1,1,2012-04-20
1500,1,1,2012-04-18
2178,1,1,2012-04-18
1320,1,1,2012-04-17
874,1,1,2012-04-17
2177,1,1,2012-04-12
2892,1,1,2012-04-11
636,1,1,2013-04-02
1034,1,1,2012-04-16
1494,1,1,2012-04-04
276,1,1,2012-04-02
1318,1,1,2012-03-30
117,1,1,2012-03-28
1492,1,1,2012-03-21
1302,1,1,2012-03-21
1313,1,1,2012-03-19
1491,1,1,2012-03-17
2870,1,1,2012-03-14
2181,1,1,2012-03-12
1309,1,1,2012-03-02
1750,1,1,2012-02-26
2848,1,1,2012-02-23
1458,1,1,2012-02-20
951,1,1,2012-02-19
1029,1,1,2012-02-19
2176,1,1,2012-02-14
2846,1,1,2012-02-13
347,1,1,2012-02-12
2173,1,1,2012-02-10
2826,1,1,2012-01-20
1742,1,1,2012-06-28
2166,1,1,2012-01-17
2823,1,1,2012-01-11
2820,1,1,2012-01-02
2814,1,1,2011-12-27
1736,1,1,2011-12-23
1025,1,1,2011-12-21
1482,1,1,2011-12-20
1483,1,1,2011-12-19
2152,1,1,2012-11-05
2806,1,1,2011-12-08
1128,1,1,2011-12-03
2801,1,1,2011-11-30
2795,1,1,2011-11-24
1290,1,1,2011-11-24
1288,1,1,2011-11-22
1436,1,1,2011-11-18
2498,1,1,2011-11-16
2784,1,1,2011-11-11
587,1,1,2011-11-08
2780,1,1,2011-11-03
2779,1,1,2011-11-01
305,1,1,2011-11-01
944,1,1,2011-11-01
2129,1,1,2011-10-25
683,1,1,2011-10-24
42,1,1,2011-10-22
1136,1,1,2011-10-16
1283,1,1,2011-10-14
2127,1,1,2011-10-03
2093,1,1,2011-09-22
1284,1,1,2011-09-20
72,1,1,2011-09-18
264,1,1,2011-09-17
2756,1,1,2011-09-16
1285,1,1,2011-09-15
613,1,1,2011-09-15
304,1,1,2011-09-13
1282,1,1,2011-09-13
4721,1,1,2011-09-11
1475,1,1,2011-09-03
2746,1,1,2011-09-01
1715,1,1,2011-08-30
734,1,1,2011-08-27
2108,1,1,2011-08-26
1923,1,1,2011-08-24
1465,1,1,2011-08-22
2742,1,1,2011-08-19
2117,1,1,2011-08-18
1720,1,1,2011-08-16
90,1,1,2011-08-16
2731,1,1,2011-08-09
1457,1,1,2011-08-08
2725,1,1,2011-08-08
2109,1,1,2011-07-25
543,1,1,2011-08-05
2102,1,1,2011-07-19
712,1,1,2011-07-10
231,1,1,2011-07-20
2687,1,1,2011-07-06
1708,1,1,2011-07-04
1129,1,1,2011-07-03
76,1,1,2011-06-29
2065,1,1,2011-06-12
1251,1,1,2011-06-08
1248,1,1,2011-06-07
725,1,1,2011-06-04
2559,1,1,2011-06-03
507,1,1,2011-05-30
1942,1,1,2011-05-09
1232,1,1,2011-05-06
534,1,1,2011-05-05
994,1,1,2011-04-30
503,1,1,2011-04-26
2448,1,1,2011-04-12
846,1,1,2011-04-05
1,160,10,2011-09-28
1,1028,7,2012-09-28
1,309,5,2013-09-05
1,11,5,2013-06-24
1,594,5,2013-06-10
1,1316,5,2012-11-19
1,1392,4,2014-11-26
1,1583,4,2013-10-05
1,888,4,2013-04-11
1,637,4,2014-12-17
1,1520,4,2014-10-07
1,18,4,2011-09-02
1,35,4,2012-03-01
1,1901,3,2014-09-27
1,44,3,2014-11-13
1,10,3,2013-07-31
1,783,3,2013-05-16
1,821,3,2013-05-21
1,112,3,2013-03-06
1,964,3,2012-10-14
1,89,3,2012-08-21
1,20,3,2012-07-18
1,256,3,2012-07-23
1,223,3,2011-05-05
1,1881,2,2015-01-03
1,351,2,2014-08-30
1,196,2,2014-02-05
1,416,2,2014-02-08
1,1877,2,2013-09-11
1,87,2,2013-10-02
1,2367,2,2013-06-20
1,3254,2,2013-06-28
1,1573,2,2014-08-25
1,247,2,2013-07-08
1,1353,2,2014-06-08
1,493,2,2013-03-19
1,1358,2,2013-07-02
1,1177,2,2013-02-28
1,1538,2,2013-01-14
1,2296,2,2013-02-04
1,222,2,2013-12-07
1,2282,2,2012-11-25
1,2113,2,2012-11-12
1,2260,2,2012-10-17
1,71,2,2012-09-25
1,142,2,2013-04-10
1,2249,2,2012-12-19
1,1519,2,2013-03-22
1,2227,2,2012-11-19
1,1496,2,2012-04-11
1,519,2,2012-04-18
1,1493,2,2012-04-16
1,1315,2,2012-04-19
1,1750,2,2012-02-26
1,156,2,2012-01-05
1,9,2,2012-02-17
1,1724,2,2011-12-02
1,22,2,2011-11-08
1,15,2,2011-10-29
1,255,2,2011-12-06
1,1267,2,2013-03-15
1,1261,2,2011-06-29
1,57,2,2011-09-02
1,710,2,2011-08-28
1,472,2,2011-05-30
1,152,2,2012-11-28
1,1952,2,2011-08-10
1,1606,2,2011-04-06
1,379,2,2011-03-24
1,4,2,2011-03-15
1,563,2,2011-08-09
1,113,2,2010-11-29
1,744,1,2010-12-27
1,625,1,2010-12-27
1,3422,1,2015-01-04
1,3421,1,2015-01-01
1,3418,1,2014-12-23
1,3402,1,2014-12-23
1,250,1,2014-12-23
1,249,1,2014-12-09
1,2427,1,2014-12-23
1,3414,1,2014-11-27
1,1590,1,2014-11-14
1,3355,1,2014-11-03
1,2305,1,2014-10-15
1,1900,1,2014-09-26
1,3385,1,2014-06-26
1,1147,1,2014-06-13
1,377,1,2014-06-13
1,1072,1,2014-06-08
1,96,1,2014-05-14
1,118,1,2014-05-12
1,3375,1,2014-05-04
1,3367,1,2014-04-24
1,1024,1,2014-04-07
1,709,1,2014-04-03
1,3349,1,2014-03-20
